Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0031365,3.8801E-05,0.00019581,0,0,0,4.116,0.018909,2.9E-06,0.00096137,0.011988,2.2E-07,0.011296,0,0,0,0,0,0,package://kubot25_pkgs/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/base_link.STL,,최종 MX-106-1;최종 MX-106-2;요추 1-1;요추2_IMU ㄹ-1;kubot25_base_link-1;최종 MX28-2;최종 MX28-3;최종 MX28-4,좌표계0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Neck_yaw,1.2504E-14,2.5464E-13,0.031083,0,0,0,0.03844,1.819E-05,0,0,5.34E-06,0,1.717E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Neck_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Neck_yaw.STL,,Neck-1,좌표계21,기준축19,Neck_yaw_joint,revolute,0.037762,5.0186E-05,0.063694,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Head_pitch,0.0016148,-0.00027502,0.047365,0,0,0,1.03932044,0.0007601,3E-07,1.779E-05,0.00045786,-4.9E-07,0.00035973,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Head_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/Head_pitch.STL,,최종 MX28-1;카메라_앞-1;앱코_웹캠-1;카메라_뒤-1,좌표계22,기준축20,Head_pitch_joint,revolute,0,0.000475,0.04825,0,0,0,Neck_yaw,0,-1,0,0,0,0,0,,,,,,,,
L_Shoulder_pitch,9.0068E-10,0.031774,-0.0016022,0,0,0,0.00983,1.39E-06,0,0,4.39E-06,-1.6E-07,4.52E-06,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Shoulder_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Shoulder_pitch.STL,,kubot25_shoulder-1,좌표계15,기준축13,L_Shoulder_pitch_joint,revolute,0.037561,0.06255,0.059244,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
L_Arm_roll,3.3313E-05,3.3313E-05,-0.0406,0,0,0,1.63108,0.00143237,0,1.12E-06,0.00143237,-1.12E-06,3.071E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Arm_roll.STL,,최종 MX28-5;팔_연결부-1;최종 MX28-6,좌표계16,기준축14,L_Arm_roll_joint,revolute,-0.000475,0.047406,-0.01045,0,0,0,L_Shoulder_pitch,1,0,0,0,0,0,0,,,,,,,,
L_Hand_pitch,1.6081E-11,2.1883E-09,-0.13605,0,0,0,0.06716,0.00027857,0,0,0.00027829,0,3.728E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hand_pitch.STL,,ks_hand_sm-1,좌표계17,기준축15,L_Hand_pitch_joint,revolute,0,0,-0.0812,0,0,0,L_Arm_roll,0,1,0,0,0,0,0,,,,,,,,
R_Shoulder_pitch,-4.4012E-10,-0.032976,-0.00078297,0,0,0,0.02530554,4.02E-06,0,0,1.155E-05,1.4E-07,1.268E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Shoulder_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Shoulder_pitch.STL,,kubot25_shoulder_collision-2;kubot25_shoulder-2,좌표계18,기준축16,R_Shoulder_pitch_joint,revolute,0.037561,-0.06245,0.059244,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
R_Arm_roll,3.1647E-05,-3.1647E-05,-0.0406,0,0,0,1.63108,0.00143237,0,1.22E-06,0.00143237,1.22E-06,3.071E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Arm_roll.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Arm_roll.STL,,최종 MX28-7;팔_연결부-2;최종 MX28-8,좌표계19,기준축17,R_Arm_roll_joint,revolute,-0.000475,-0.047406,-0.01045,0,0,0,R_Shoulder_pitch,1,0,0,0,0,0,0,,,,,,,,
R_Hand_pitch,1.6482E-11,2.1881E-09,-0.13605,0,0,0,0.06716,0.00027857,0,0,0.00027829,0,3.728E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hand_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/R_Hand_pitch.STL,,ks_hand_sm-2,좌표계20,기준축18,R_Hand_pitch_joint,revolute,0,0,-0.0812,0,0,0,R_Arm_roll,0,-1,0,0,0,0,0,,,,,,,,
L_Hip_yaw,-0.0014744,6.6613E-16,-0.039988,0,0,0,0.023559,8.7E-06,0,-7.7E-07,1.842E-05,0,1.691E-05,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://kubot25_pkgs/meshes/L_Hip_yaw.STL,,삼각형-1;사각형-1;삼각형-2;HN05-i101-4,좌표계1,기준축1,L_Hip_yaw_joint,revolute,0.028062,0.05005,-0.077556,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
